CustomId,Part Number,Colors,filename
133,2540,"['Black', 'Blue', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Red', 'Dark Tan', 'Dark Turquoise', 'Green', 'Light Bluish Gray', 'Light Gray', 'Light Lime', 'Lime', 'Medium Azure', 'Medium Blue', 'Medium Orange', 'Nougat', 'Orange', 'Red', 'Reddish Brown', 'Sand Blue', 'Sand Purple', 'Sand Red', 'Tan', 'White', 'Yellow', 'Pearl Gold', 'Light Blue']",2540.dat
134,2549,"['Brown', 'Dark Tan', 'Reddish Brown']",2549.dat
135,2554,"['Black', 'Brown', 'Green', 'Reddish Brown']",2554.dat
136,2555,"['Black', 'Blue', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Purple', 'Dark Red', 'Green', 'Light Bluish Gray', 'Light Gray', 'Light Lime', 'Lime', 'Medium Green', 'Orange', 'Red', 'Reddish Brown', 'Sand Green', 'Tan', 'White', 'Yellow', 'Flat Dark Gold', 'Pearl Gold', 'Bright Light Orange']",2555.dat
137,2560,"['Black', 'Brown', 'Dark Brown', 'Red', 'Reddish Brown']",2560.dat
138,2563,"['Brown', 'Light Gray', 'Reddish Brown']",2563.dat
139,2566,"['Black', 'Blue', 'Brown', 'Dark Pink', 'Green', 'Light Bluish Gray', 'Reddish Brown', 'Tan', 'White', 'Yellow', 'Pearl Gold']",2566.dat
140,2569,"['Black', 'Blue', 'Bright Light Orange', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Green', 'Light Bluish Gray', 'Light Gray', 'Neon Green', 'Neon Orange', 'Red', 'Tan', 'White', 'Yellow', 'Trans-Bright Green', 'Trans-Dark Blue', 'Trans-Dark Pink', 'Trans-Light Orange', 'Trans-Medium Blue', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Orange', 'Trans-Red']",2569.dat
141,2570,"['Black', 'Brown', 'Dark Bluish Gray', 'Dark Gray', 'Light Gray', 'Medium Blue', 'Reddish Brown', 'Chrome Silver', 'Flat Silver', 'Pearl Dark Gray', 'Pearl Light Gray']",2570.dat
142,2571,"['Lime', 'Medium Azure', 'Reddish Brown', 'White', 'Yellow', 'Trans-Clear', 'Trans-Green', 'Trans-Light Blue', 'Trans-Orange', 'Trans-Purple', 'Satin Trans-Light Blue']",2571.dat
143,2572,"['White', 'Trans-Clear', 'Trans-Light Blue']",2572.dat
144,2573,"['Black', 'Light Bluish Gray', 'Light Gray', 'Orange']",2573.dat
145,2574,['Red'],2574.dat
146,2577,"['Black', 'Blue', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Pink', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Red', 'Tan', 'White', 'Yellow']",2577.dat
147,2582,"['Black', 'Medium Blue', 'Red', 'White', 'Yellow', 'Trans-Clear', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Light Blue', 'Trans-Neon Orange', 'Trans-Red']",2582.dat
148,2582p68,['Light Gray'],2582p68.dat
